Point X,Point Y,Point Z,Heading,Type,Move
17524.2,2003.91,0,1.1007,2,1
17541.7,2050.67,0,1.32797,2,1
17548.1,2100.15,0,1.55524,2,1
17543.2,2149.8,0,1.78252,2,1
17527.2,2197.07,0,2.00979,2,1
17501.1,2239.54,0,2.23706,2,1
17466,2275.01,0,2.46433,2,1
17423.8,2301.67,0,2.69161,2,1
17376.7,2318.13,0,2.91888,2,1
17327.1,2323.57,0,3.14615,2,1
17313.9,2323.11,0,3.2062,2,1
17313.9,2323.11,0,3.2062,2,1
17264,2319.88,0,3.2062,2,1
17214.1,2316.65,0,3.2062,2,1
17164.2,2313.43,0,3.2062,2,1
17114.3,2310.2,0,3.2062,2,1
17064.4,2306.97,0,3.2062,2,1
17014.5,2303.74,0,3.2062,2,1
16964.6,2300.51,0,3.2062,2,1
16914.7,2297.29,0,3.2062,2,1
16864.8,2294.06,0,3.2062,2,1
16853.7,2293.33,0,3.2062,2,1
16853.7,2293.33,0,3.2062,2,1
16804.5,2284.49,0,3.43347,2,1
16778.4,2274.77,0,3.56047,2,1
16778.4,2274.77,0,3.56047,2,1
16641.3,2213.76,0,3.56047,4,1
-12005.1,-10540.4,0,3.56047,1,1
-12279.1,-10662.5,0,3.56047,5,1
-12326.7,-10677.5,0,3.3332,2,1
-12376.5,-10681.3,0,3.10593,2,1
-12425.8,-10673.9,0,2.87865,2,1
-12472.2,-10655.6,0,2.65138,2,1
-12487.7,-10646.4,0,2.56943,2,1
-12487.7,-10646.4,0,2.56943,2,1
-12529.8,-10619.4,0,2.56943,2,1
-12571.8,-10592.3,0,2.56943,2,1
-12613.8,-10565.2,0,2.56943,2,1
-12648.5,-10542.9,0,2.56943,2,1
-12648.5,-10542.9,0,2.56943,2,1
-12687.1,-10511.3,0,2.34216,2,1
-12717.6,-10471.8,0,2.11489,2,1
-12738.5,-10426.5,0,1.88762,2,1
-12748.5,-10377.6,0,1.66034,2,1
-12747.3,-10327.7,0,1.43307,2,1
-12734.9,-10279.4,0,1.2058,2,1
-12711.9,-10235.1,0,0.978525,2,1
-12679.6,-10197.1,0,0.751252,2,1
-12639.5,-10167.4,0,0.52398,2,1
-12618.9,-10156.9,0,0.418879,2,1
-12618.9,-10156.9,0,0.418879,2,1
-12481.9,-10095.9,0,0.418879,4,1
15865.1,2524.94,0,0.418879,1,1
16139.2,2646.96,0,0.418879,5,1
16182.1,2672.29,0,0.646152,2,1
16218.3,2706.65,0,0.873424,2,1
16245.8,2748.28,0,1.1007,2,1
16263.2,2795.04,0,1.32797,2,1
16269.6,2844.51,0,1.55524,2,1
16264.8,2894.17,0,1.78252,2,1
16248.8,2941.44,0,2.00979,2,1
16222.6,2983.91,0,2.23706,2,1
16187.5,3019.38,0,2.46433,2,1
16145.4,3046.04,0,2.69161,2,1
16098.3,3062.5,0,2.91888,2,1
16048.7,3067.93,0,3.14615,2,1
16035.5,3067.48,0,3.2062,2,1
16035.5,3067.48,0,3.2062,2,1
15985.6,3064.25,0,3.2062,2,1
15935.7,3061.02,0,3.2062,2,1
15885.8,3057.79,0,3.2062,2,1
15835.9,3054.57,0,3.2062,2,1
15786,3051.34,0,3.2062,2,1
15736.1,3048.11,0,3.2062,2,1
15686.2,3044.88,0,3.2062,2,1
15636.3,3041.65,0,3.2062,2,1
